RowNumber,CustomerID,Surname,CreditScore,Country,Gender,Married,Age,Dependents,NumBankAccts,HasCrCard,EmergingMarketFund,RealEstate,PrivateEquity,GovtBonds,CorpBonds,ETF Tech,ETF Health,ETF Med,EstimatedSalary,Mortgage,Risk Profile,Debt,Net Assets,Portfolio Return,Diversification,BusinessOwner,Revenue,Margin,LifeInsurance,NumTransactions,LastTransactionDate,LastTransactionAmt,ForeignAssets,NumProducts,Churn,Discount,Retention,CLV
1,15634602,Hargrave,619,France,Female,1,42,3,1,1,1,0,1,0,1,1,1,0,101349,1,0.16,0,75615,0.1232,0.3623,0,65424.71,0.08,1,5,1/27/2019,2095.3,0.39,4,0,0.21,,
2,15647311,Hill,608,Spain,Female,1,41,2,1,0,1,0,0,1,0,0,1,1,112543,0,0.48,33658,21131,0.1262,0.405,1,23130.27,0.04,1,8,2/25/2019,9955.2,0.21,1,0,0.5,,
3,15619304,Onio,502,France,Female,1,42,2,3,1,1,0,0,1,0,1,1,1,113932,1,0.13,0,86608,0.0997,0.4239,0,19497.81,0.1,0,3,11/5/2017,9123.1,0,5,1,0.37,,
4,15701354,Boni,699,France,Female,1,39,0,2,0,1,0,0,0,0,1,0,0,93827,0,0.21,1431,54767,0.0932,0.1576,0,63760.01,0.08,0,5,1/7/2019,5973.3,0.4,5,0,0.72,,
5,15737888,Mitchell,850,Spain,Female,1,43,0,1,1,1,1,1,0,0,0,1,0,79084,0,0.03,40265,28374,0.1289,0.1568,0,14422.97,0.04,1,2,3/28/2015,9834.4,0.13,4,0,0.26,,
6,15574012,Chu,645,Spain,Male,1,44,2,2,1,0,1,1,1,1,0,0,1,149757,1,0.04,26063,92294,0.1444,0.1831,1,43903.89,0.07,0,10,12/16/2017,5178.1,0,4,1,0.07,,
7,15592531,Bartlett,822,France,Male,0,50,1,2,1,1,1,1,0,1,1,0,0,10063,0,0.26,16828,75072,0.1273,0.3871,0,79283.95,0.1,1,8,9/24/2017,1720,0,6,1,0.25,,
8,15656148,Obinna,376,Germany,Female,1,29,5,4,1,1,1,0,0,1,0,1,1,119347,1,0.16,11864,81031,0.1072,0.2312,1,10517.56,0.08,0,9,1/30/2016,8945.4,0.47,3,1,0.27,,
9,15792365,Hu,501,France,Male,1,44,0,2,0,1,0,0,0,0,0,1,0,74941,0,0.45,31645,85517,0.1115,0.1644,0,44416.56,0.09,1,2,5/12/2017,6272.4,0,1,1,0.43,,
10,15592389,Huang,684,France,Male,1,27,1,1,1,1,1,0,0,1,0,1,1,71726,0,0.38,34991,59761,0.1394,0.4,1,76232.61,0.1,1,1,4/29/2017,1019.6,0.41,2,0,0.46,,
11,15767821,Bearce,528,France,Male,1,31,0,2,0,1,1,0,1,1,1,1,1,80181,0,0.4,0,51456,0.123,0.3176,0,12631.02,0.06,0,4,3/24/2018,9654,0,3,1,0.62,,
12,15737173,Andrews,497,Spain,Male,1,24,1,2,1,0,1,1,1,0,1,0,0,76390,0,0.34,18209,97442,0.174,0.318,1,66437.53,0.08,0,8,5/14/2016,4454.9,0.19,6,0,0.47,,
13,15632264,Kay,476,France,Female,0,34,0,2,1,0,0,0,1,1,0,0,0,26261,0,0.05,5332,96728,0.0882,0.2043,0,15942,0.03,0,8,5/6/2016,8187.5,0.33,6,1,0.4,,
14,15691483,Chin,549,France,Female,1,25,5,2,0,1,1,0,0,1,1,0,0,190858,0,0.49,10541,80280,0.1242,0.3275,0,74170.58,0.11,0,6,12/6/2018,4886.6,0,2,0,0.31,,
15,15600882,Scott,635,Spain,Female,1,35,0,2,1,0,0,0,0,1,0,0,0,65952,0,0.28,34720,54986,0.1313,0.4099,0,70164.99,0.1,1,3,4/24/2015,2681.4,0.03,3,0,0.21,,
16,15643966,Goforth,616,Germany,Male,1,45,0,2,0,1,0,1,1,0,1,0,1,64327,0,0.42,19521,49505,0.1165,0.4519,1,51048.98,0.09,1,10,1/23/2018,2424.8,0,4,1,0.31,,
17,15737452,Romeo,653,Germany,Male,0,58,0,1,1,1,1,1,0,1,1,0,1,25098,1,0.32,0,88825,0.1618,0.1328,1,28980.38,0.07,0,10,5/9/2016,2094.3,0,4,0,0.13,,
18,15788218,Henderson,549,Spain,Female,0,24,1,2,1,0,0,0,1,0,0,0,0,14406,0,0.13,26508,37910,0.1659,0.335,0,57603.84,0.06,1,4,11/18/2016,7700.1,0.22,6,0,0.31,,
19,15661507,Muldrow,587,Spain,Male,1,45,2,1,0,0,0,1,0,0,0,1,1,158685,0,0.37,20227,91309,0.1191,0.4464,0,12639.9,0.12,0,10,11/15/2016,1691.3,0.15,5,0,0.03,,
20,15568982,Hao,726,France,Female,0,24,1,2,1,0,0,0,0,0,1,0,0,54724,0,0.38,15789,34095,0.1027,0.4223,1,18036.71,0.09,1,10,8/22/2017,9072.7,0,1,0,0.36,,
21,15577657,McDonald,732,France,Male,1,41,2,2,1,1,1,1,0,0,1,1,1,170886,0,0.37,44012,74394,0.1304,0.2835,0,20951.12,0.13,1,1,8/26/2015,3675.4,0,2,0,0.1,,
22,15597945,Dellucci,636,Spain,Female,1,32,3,2,1,1,1,0,1,0,1,0,1,138555,0,0.33,0,73122,0.0904,0.2431,1,10717.9,0.1,0,1,2/28/2018,7591.2,0.05,1,1,0.05,,
23,15699309,Gerasimov,510,Spain,Female,1,38,4,1,1,0,0,1,1,0,1,0,0,118914,1,0.23,1645,62172,0.18,0.4404,0,45521.72,0.09,0,8,3/18/2017,719.2,0,6,1,0.13,,
24,15725737,Mosman,669,France,Male,0,46,0,2,0,0,1,1,1,0,0,1,0,8488,0,0.32,15041,34702,0.082,0.295,1,12143.82,0.1,1,3,1/23/2019,1301.5,0.13,4,1,0.63,,
25,15625047,Yen,846,France,Female,1,38,2,1,1,0,0,1,0,0,0,1,1,187616,0,0.25,36780,32941,0.1203,0.4023,1,76164.47,0.11,1,7,11/28/2016,8793.9,0.23,3,0,0.43,,
26,15738191,Maclean,577,France,Male,1,25,4,2,0,1,0,1,1,0,1,0,1,124508,0,0.4,21112,47886,0.1231,0.1492,1,40518.12,0.07,1,2,1/22/2019,4770.4,0.42,2,1,0.65,,
27,15736816,Young,756,Germany,Male,1,36,4,1,1,0,1,1,1,0,1,0,1,170042,0,0.21,20356,62426,0.1164,0.371,0,33697.16,0.06,1,9,11/22/2018,5830.4,0,6,0,0.18,,
28,15700772,Nebechi,571,France,Male,0,44,1,2,0,0,1,1,1,1,1,1,1,38433,0,0.15,19683,34984,0.0985,0.3031,0,16386.4,0.13,0,7,10/25/2016,3873.2,0.33,1,1,0.62,,
29,15728693,McWilliams,574,Germany,Female,1,43,2,1,1,1,1,0,0,0,1,1,0,100187,0,0.08,33808,44292,0.1661,0.1243,1,22740.32,0.06,1,7,5/24/2019,8700.7,0,4,1,0.03,,
